,node,centrality,community,density,name
742,1038,2,49,0.07756813417190776,"cowperthwaite, d.j."
743,809,2,49,0.07756813417190776,"dreezer, r."
744,71,2,49,0.07756813417190776,"hildebrand, k."
745,70,2,49,0.07756813417190776,"slack, j."
746,1230,2,49,0.07756813417190776,"ferstay, j.a."
747,634,2,49,0.07756813417190776,"grammel, l."
748,807,2,49,0.07756813417190776,"tsang, h.y."
749,298,3,49,0.07756813417190776,"jones, s.j.m."
750,704,3,49,0.07756813417190776,"wong, k."
751,705,3,49,0.07756813417190776,"muller, h.a."
752,1244,3,49,0.07756813417190776,"barsky, a."
753,832,3,49,0.07756813417190776,"frank, a."
754,612,3,49,0.07756813417190776,"choe, e.k."
755,122,3,49,0.07756813417190776,"interrante, v."
756,949,3,49,0.07756813417190776,"healey, c."
757,735,3,49,0.07756813417190776,"stray, j."
758,736,3,49,0.07756813417190776,"ingram, s."
759,123,3,49,0.07756813417190776,"hagh-shenas, h."
760,1333,3,49,0.07756813417190776,"ng, j."
761,297,3,49,0.07756813417190776,"jackman, s.d."
762,299,3,49,0.07756813417190776,"birol, i."
763,1243,3,49,0.07756813417190776,"gardy, j."
764,983,3,49,0.07756813417190776,"claffy, k."
765,984,3,49,0.07756813417190776,"fenner, b."
766,907,3,49,0.07756813417190776,"jacko, j.a."
767,1332,3,49,0.07756813417190776,"tate, k."
768,808,3,49,0.07756813417190776,"swindells, c."
769,1088,4,49,0.07756813417190776,"khot, r.a."
770,1089,4,49,0.07756813417190776,"tabard, a."
771,1090,4,49,0.07756813417190776,"stusak, s."
772,585,4,49,0.07756813417190776,"kincaid, r."
773,811,4,49,0.07756813417190776,"dong, z."
774,813,4,49,0.07756813417190776,"upatising, b."
775,812,4,49,0.07756813417190776,"xian, h."
776,913,4,49,0.07756813417190776,fuqu wu
777,915,4,49,0.07756813417190776,"sprague, d.w."
778,914,4,49,0.07756813417190776,"so, w.y."
779,1087,4,49,0.07756813417190776,"sauka, f."
780,300,5,49,0.07756813417190776,"nielsen, c.b."
781,635,5,49,0.07756813417190776,"storey, m."
782,703,5,49,0.07756813417190776,"fracchia, f.d."
783,897,5,49,0.07756813417190776,"hung, y."
784,814,6,49,0.07756813417190776,"kim, s.-h."
785,898,7,49,0.07756813417190776,"lee, s."
786,833,7,49,0.07756813417190776,"butz, a."
787,896,7,49,0.07756813417190776,"kang, y."
788,501,8,49,0.07756813417190776,"lam, h."
789,124,8,49,0.07756813417190776,"kim, s."
790,389,9,49,0.07756813417190776,"brehmer, m."
791,810,11,49,0.07756813417190776,"yi, j.s."
792,134,16,49,0.07756813417190776,"tory, m."
793,69,31,49,0.07756813417190776,"munzner, t."
794,821,1,20,0.08311688311688312,"woodruff, a."
795,338,1,20,0.08311688311688312,"amenta, n."
796,78,1,20,0.08311688311688312,"boyd, d."
797,523,1,20,0.08311688311688312,"stone, m.c."
798,561,1,20,0.08311688311688312,"segel, e."
799,312,2,20,0.08311688311688312,"bostock, m."
800,313,2,20,0.08311688311688312,"ogievetsky, v."
801,548,2,20,0.08311688311688312,"kong, n."
802,345,2,20,0.08311688311688312,"selassie, d."
803,357,2,20,0.08311688311688312,"olston, c."
804,1311,2,20,0.08311688311688312,"grossman, r."
805,85,2,20,0.08311688311688312,"lin, s."
806,380,2,20,0.08311688311688312,"mayhua, a."
807,511,2,20,0.08311688311688312,"demiralp, c.d."
808,512,2,20,0.08311688311688312,"bernstein, m.s."
809,601,2,20,0.08311688311688312,"dang, t.n."
810,379,2,20,0.08311688311688312,"poco, j."
811,748,2,20,0.08311688311688312,"card, s.k."
812,1222,2,20,0.08311688311688312,"bosche, r."
813,346,2,20,0.08311688311688312,"heller, b."
814,241,2,20,0.08311688311688312,"gerth, j."
815,986,3,20,0.08311688311688312,"russell, r."
816,381,3,20,0.08311688311688312,"tang, d."
817,985,3,20,0.08311688311688312,"hoffswell, j."
818,1289,3,20,0.08311688311688312,"phan, d."
819,1290,3,20,0.08311688311688312,"yeh, r."
820,463,3,20,0.08311688311688312,"riedl, j."
821,623,3,20,0.08311688311688312,"barry, p."
822,522,3,20,0.08311688311688312,"setlur, v."
823,870,3,20,0.08311688311688312,"rosenblum, m."
824,869,3,20,0.08311688311688312,"bosch, r."
825,602,3,20,0.08311688311688312,"wilkinson, l."
